datetime,open,high,low,close,volume
2026-03-04 09:15:00+05:30,55.05,75.4,43.5,72.45,1674465
2026-03-04 09:20:00+05:30,73.2,75.0,67.45,68.85,481910
2026-03-04 09:25:00+05:30,68.35,71.7,66.4,68.7,341770
2026-03-04 09:30:00+05:30,69.15,70.9,65.9,66.65,355875
2026-03-04 09:35:00+05:30,66.7,68.95,64.25,66.25,312780
2026-03-04 09:40:00+05:30,66.6,74.9,66.4,74.2,444340
2026-03-04 09:45:00+05:30,74.35,74.6,67.75,69.5,363480
2026-03-04 09:50:00+05:30,69.35,71.05,67.05,69.1,129090
2026-03-04 09:55:00+05:30,68.8,68.95,64.1,64.4,204880
2026-03-04 10:00:00+05:30,64.2,65.4,60.55,61.0,370110
2026-03-04 10:05:00+05:30,61.05,63.25,58.6,62.9,256880
2026-03-04 10:10:00+05:30,62.8,69.15,60.2,67.7,327275
2026-03-04 10:15:00+05:30,68.15,72.2,66.0,67.85,349700
2026-03-04 10:20:00+05:30,67.9,76.55,67.0,71.35,409435
2026-03-04 10:25:00+05:30,71.45,82.6,70.35,73.7,774345
2026-03-04 10:30:00+05:30,74.05,75.7,71.05,72.2,314080
2026-03-04 10:35:00+05:30,72.2,75.25,69.5,71.05,271570
2026-03-04 10:40:00+05:30,71.3,72.15,67.95,69.85,245180
2026-03-04 10:45:00+05:30,69.7,75.55,68.45,70.15,292630
2026-03-04 10:50:00+05:30,70.15,70.3,66.1,68.4,253305
2026-03-04 10:55:00+05:30,68.05,68.8,64.7,67.95,201825
2026-03-04 11:00:00+05:30,68.1,73.8,67.2,70.85,298545
2026-03-04 11:05:00+05:30,71.1,75.9,70.0,75.15,376610
2026-03-04 11:10:00+05:30,75.1,78.9,72.95,74.1,493805
2026-03-04 11:15:00+05:30,73.7,74.35,68.25,69.0,311025
2026-03-04 11:20:00+05:30,68.9,71.65,65.3,67.0,284050
2026-03-04 11:25:00+05:30,67.0,67.85,62.65,63.35,227890
2026-03-04 11:30:00+05:30,63.45,64.95,62.25,63.85,200915
2026-03-04 11:35:00+05:30,63.85,65.6,62.8,63.2,138710
2026-03-04 11:40:00+05:30,63.2,64.2,61.3,62.35,161655
2026-03-04 11:45:00+05:30,62.35,64.1,61.7,63.6,113620
2026-03-04 11:50:00+05:30,63.75,66.2,62.45,62.95,227695
2026-03-04 11:55:00+05:30,62.95,64.65,62.65,63.6,83070
2026-03-04 12:00:00+05:30,63.6,65.1,63.1,63.85,105950
2026-03-04 12:05:00+05:30,63.85,64.7,62.35,64.15,90545
2026-03-04 12:10:00+05:30,64.25,64.9,61.6,62.2,128635
2026-03-04 12:15:00+05:30,62.8,63.05,60.55,60.95,157690
2026-03-04 12:20:00+05:30,61.05,63.85,61.0,62.35,123045
2026-03-04 12:25:00+05:30,62.7,63.8,61.1,62.1,117585
2026-03-04 12:30:00+05:30,62.2,63.5,61.55,62.8,37765
2026-03-04 12:35:00+05:30,62.7,63.9,62.1,62.65,46800
2026-03-04 12:40:00+05:30,62.6,62.75,58.6,61.55,176020
2026-03-04 12:45:00+05:30,61.55,64.35,60.9,62.1,201045
2026-03-04 12:50:00+05:30,62.15,64.7,62.1,63.9,92820
2026-03-04 12:55:00+05:30,64.15,69.5,63.75,67.7,371150
2026-03-04 13:00:00+05:30,68.45,70.4,66.6,68.15,223210
2026-03-04 13:05:00+05:30,68.1,73.95,67.1,73.95,216775
2026-03-04 13:10:00+05:30,74.3,77.7,69.8,77.7,487305
2026-03-04 13:15:00+05:30,77.15,79.2,72.65,74.35,429585
2026-03-04 13:20:00+05:30,74.25,80.4,71.85,79.85,337545
2026-03-04 13:25:00+05:30,80.0,86.0,75.95,76.0,684840
2026-03-04 13:30:00+05:30,76.3,82.6,73.6,74.0,362765
2026-03-04 13:35:00+05:30,73.8,79.25,72.1,78.9,282295
2026-03-04 13:40:00+05:30,79.0,80.65,76.25,80.6,233220
2026-03-04 13:45:00+05:30,80.45,80.75,73.8,74.65,236600
2026-03-04 13:50:00+05:30,74.9,76.0,72.2,72.45,166660
2026-03-04 13:55:00+05:30,72.3,74.5,70.2,73.05,220350
2026-03-04 14:00:00+05:30,73.4,76.75,73.15,75.15,226720
2026-03-04 14:05:00+05:30,75.15,87.25,73.65,86.25,472810
2026-03-04 14:10:00+05:30,86.75,103.3,83.65,103.25,1427205
2026-03-04 14:15:00+05:30,102.7,114.4,97.4,112.0,1373320
2026-03-04 14:20:00+05:30,111.75,112.25,100.55,100.9,640315
2026-03-04 14:25:00+05:30,100.8,104.35,94.15,95.7,699920
2026-03-04 14:30:00+05:30,95.95,106.25,91.1,100.25,681265
2026-03-04 14:35:00+05:30,100.4,103.5,95.85,102.35,376090
2026-03-04 14:40:00+05:30,102.75,120.5,101.6,116.6,952835
2026-03-04 14:45:00+05:30,116.55,124.1,108.05,118.45,971620
2026-03-04 14:50:00+05:30,118.4,122.4,113.85,118.85,466245
2026-03-04 14:55:00+05:30,118.85,126.0,115.3,117.9,511095
2026-03-04 15:00:00+05:30,117.85,119.0,96.95,97.8,729365
2026-03-04 15:05:00+05:30,97.9,100.3,84.65,85.35,567060
2026-03-04 15:10:00+05:30,85.2,86.9,79.5,80.4,525720
2026-03-04 15:15:00+05:30,80.5,82.3,72.85,76.9,540020
2026-03-04 15:20:00+05:30,76.85,78.35,73.9,76.7,297245
2026-03-04 15:25:00+05:30,76.75,76.75,68.7,73.0,411970
